5 5
0 0 0.08
1 0 0.13
1 1 0.26
0 1 0.11
1 0 0.13
2 0 0.21
2 1 0.50
1 1 0.26
2 0 0.21
3 0 0.24
3 1 0.59
2 1 0.50
3 0 0.24
4 0 0.18
4 1 0.39
3 1 0.59
4 0 0.18
5 0 0.10
5 1 0.18
4 1 0.39
0 1 0.11
1 1 0.26
1 2 0.40
0 2 0.15
1 1 0.26
2 1 0.50
2 2 0.84
1 2 0.40
2 1 0.50
3 1 0.59
3 2 0.99
2 2 0.84
3 1 0.59
4 1 0.39
4 2 0.64
3 2 0.99
4 1 0.39
5 1 0.18
5 2 0.26
4 2 0.64
0 2 0.15
1 2 0.40
1 3 0.40
0 3 0.15
1 2 0.40
2 2 0.84
2 3 0.84
1 3 0.40
2 2 0.84
3 2 0.99
3 3 0.99
2 3 0.84
3 2 0.99
4 2 0.64
4 3 0.64
3 3 0.99
4 2 0.64
5 2 0.26
5 3 0.26
4 3 0.64
0 3 0.15
1 3 0.40
1 4 0.26
0 4 0.11
1 3 0.40
2 3 0.84
2 4 0.50
1 4 0.26
2 3 0.84
3 3 0.99
3 4 0.59
2 4 0.50
3 3 0.99
4 3 0.64
4 4 0.39
3 4 0.59
4 3 0.64
5 3 0.26
5 4 0.18
4 4 0.39
0 4 0.11
1 4 0.26
1 5 0.13
0 5 0.08
1 4 0.26
2 4 0.50
2 5 0.21
1 5 0.13
2 4 0.50
3 4 0.59
3 5 0.24
2 5 0.21
3 4 0.59
4 4 0.39
4 5 0.18
3 5 0.24
4 4 0.39
5 4 0.18
5 5 0.10
4 5 0.18
